epoch: 0	train ppl: 517.5414521172487	val ppl: 302.166858197579	best val: 302.166858197579	time (s) spent in epoch: 266.3419699668884
epoch: 1	train ppl: 293.3522910073285	val ppl: 226.13430552267243	best val: 226.13430552267243	time (s) spent in epoch: 258.9340512752533
epoch: 2	train ppl: 237.4220779893571	val ppl: 203.37930102816455	best val: 203.37930102816455	time (s) spent in epoch: 256.86585664749146
epoch: 3	train ppl: 204.82356126185883	val ppl: 174.69052955740182	best val: 174.69052955740182	time (s) spent in epoch: 256.9314844608307
epoch: 4	train ppl: 182.30859719857622	val ppl: 160.79489151946123	best val: 160.79489151946123	time (s) spent in epoch: 262.12365317344666
epoch: 5	train ppl: 165.14310248980263	val ppl: 150.39464119181702	best val: 150.39464119181702	time (s) spent in epoch: 257.1315417289734
epoch: 6	train ppl: 151.8569881016923	val ppl: 144.80708191135474	best val: 144.80708191135474	time (s) spent in epoch: 271.7042315006256
epoch: 7	train ppl: 141.20789362303466	val ppl: 136.71557639603193	best val: 136.71557639603193	time (s) spent in epoch: 269.3386654853821
epoch: 8	train ppl: 132.02953671968902	val ppl: 133.6340123875055	best val: 133.6340123875055	time (s) spent in epoch: 260.0215663909912
epoch: 9	train ppl: 124.27366954563348	val ppl: 127.28504162762187	best val: 127.28504162762187	time (s) spent in epoch: 259.96968173980713
epoch: 10	train ppl: 117.89851660401771	val ppl: 124.1451010061142	best val: 124.1451010061142	time (s) spent in epoch: 258.9553678035736
epoch: 11	train ppl: 111.63462998273542	val ppl: 124.42051988267552	best val: 124.1451010061142	time (s) spent in epoch: 267.9116904735565
epoch: 12	train ppl: 106.41166607834228	val ppl: 120.81371583178864	best val: 120.81371583178864	time (s) spent in epoch: 266.61436200141907
epoch: 13	train ppl: 101.59502407941453	val ppl: 117.439206900002	best val: 117.439206900002	time (s) spent in epoch: 259.05921626091003
epoch: 14	train ppl: 97.03811912137267	val ppl: 118.2860376889877	best val: 117.439206900002	time (s) spent in epoch: 267.34967041015625
epoch: 15	train ppl: 93.30829100307093	val ppl: 116.76056474092374	best val: 116.76056474092374	time (s) spent in epoch: 258.3762242794037
epoch: 16	train ppl: 89.79762670802985	val ppl: 113.13601631597216	best val: 113.13601631597216	time (s) spent in epoch: 270.5733118057251
epoch: 17	train ppl: 86.54726518679068	val ppl: 114.37238344104331	best val: 113.13601631597216	time (s) spent in epoch: 273.4870796203613
epoch: 18	train ppl: 83.40838163036956	val ppl: 113.29282374874313	best val: 113.13601631597216	time (s) spent in epoch: 261.3525159358978
epoch: 19	train ppl: 80.4841229581958	val ppl: 113.13630043959982	best val: 113.13601631597216	time (s) spent in epoch: 266.64367413520813
epoch: 20	train ppl: 77.91655672270421	val ppl: 112.01522258281493	best val: 112.01522258281493	time (s) spent in epoch: 258.6273543834686
epoch: 21	train ppl: 75.39083916739052	val ppl: 111.83907384416602	best val: 111.83907384416602	time (s) spent in epoch: 268.1769788265228
epoch: 22	train ppl: 73.10770930458423	val ppl: 110.97942491667952	best val: 110.97942491667952	time (s) spent in epoch: 257.8912134170532
epoch: 23	train ppl: 71.11716087576178	val ppl: 112.4946686911892	best val: 110.97942491667952	time (s) spent in epoch: 257.62146973609924
epoch: 24	train ppl: 69.03172744182287	val ppl: 112.62216583190138	best val: 110.97942491667952	time (s) spent in epoch: 274.7312979698181
epoch: 25	train ppl: 67.27434768382133	val ppl: 114.2994637155557	best val: 110.97942491667952	time (s) spent in epoch: 260.54390048980713
epoch: 26	train ppl: 65.30951421863128	val ppl: 112.25737778717718	best val: 110.97942491667952	time (s) spent in epoch: 260.33018159866333
epoch: 27	train ppl: 63.81479749853633	val ppl: 111.27502641590966	best val: 110.97942491667952	time (s) spent in epoch: 260.2110116481781
epoch: 28	train ppl: 62.2030635706035	val ppl: 112.78429755040963	best val: 110.97942491667952	time (s) spent in epoch: 260.21064805984497
epoch: 29	train ppl: 60.86251314283021	val ppl: 112.3831381685643	best val: 110.97942491667952	time (s) spent in epoch: 258.65893483161926
epoch: 30	train ppl: 59.551369511545616	val ppl: 113.18444374914313	best val: 110.97942491667952	time (s) spent in epoch: 257.9299671649933
epoch: 31	train ppl: 58.33964424555799	val ppl: 113.6893642406314	best val: 110.97942491667952	time (s) spent in epoch: 257.51120710372925
epoch: 32	train ppl: 57.03814469170831	val ppl: 114.51355668272585	best val: 110.97942491667952	time (s) spent in epoch: 271.5974371433258
epoch: 33	train ppl: 55.88066135606056	val ppl: 115.18821417181069	best val: 110.97942491667952	time (s) spent in epoch: 259.67258191108704
epoch: 34	train ppl: 54.89348253290971	val ppl: 113.91730628975628	best val: 110.97942491667952	time (s) spent in epoch: 259.59575939178467
epoch: 35	train ppl: 53.78883953612082	val ppl: 114.32977512727552	best val: 110.97942491667952	time (s) spent in epoch: 260.5238103866577
epoch: 36	train ppl: 52.98033564837435	val ppl: 116.61074781481425	best val: 110.97942491667952	time (s) spent in epoch: 260.3939905166626
epoch: 37	train ppl: 51.89910732526483	val ppl: 116.09238937065447	best val: 110.97942491667952	time (s) spent in epoch: 261.97475957870483
epoch: 38	train ppl: 51.09190724151897	val ppl: 114.9025759249985	best val: 110.97942491667952	time (s) spent in epoch: 288.1310374736786
epoch: 39	train ppl: 50.207869244979996	val ppl: 117.5036750721712	best val: 110.97942491667952	time (s) spent in epoch: 258.19728350639343
